source,target,weight,sym_norm_w
多边形面积,平行四边形和梯形,2,0.04599220498182739
多边形面积,比例,2,0.02586735601214815
多边形面积,位置二,4,0.0951034068730948
多边形面积,认识图形一,1,0.06401843996644799
多边形面积,小数除法,1,0.01168811455530461
多边形面积,分数的意义和性质,1,0.014784425419091456
多边形面积,比的意义,2,0.023474243079733458
多边形面积,旋转,1,0.018676098402828818
多边形面积,图形的运动,1,0.017755520605710874
多边形面积,长方体和正方体,1,0.012495120046661576
简易方程,比例,42,0.4656903154237997
简易方程,圆,2,0.02569386982065539
简易方程,位置二,1,0.020382711378539392
简易方程,长方体和正方体,4,0.04284757973243222
简易方程,认识统计图,2,0.036588086663230115
简易方程,小数除法,1,0.010020060200702528
简易方程,数与代数,3,0.03471050672503116
简易方程,小数的加、减法,1,0.014412753434733406
简易方程,整数的四则运算,1,0.007666268456952832
简易方程,整数的认识,3,0.03396395694997219
简易方程,年月日,1,0.03471050672503116
简易方程,因数与倍数,1,0.011905605585844766
简易方程,比的意义,1,0.010062073215996297
简易方程,分数除法,1,0.008158713191748889
简易方程,简便计算,2,0.022063446410716506
简易方程,分数的意义和性质,1,0.012674485010489558
简易方程,100以内数的认识,1,0.021526542445480877
简易方程,负数的初步认识,1,0.03309516961607476
圆柱与圆锥,比的意义,6,0.0734993936325038
圆柱与圆锥,长方体和正方体,24,0.31298431857438064
圆柱与圆锥,找规律,1,0.0545544725589981
圆柱与圆锥,综合与实践,1,0.05976143046671968
圆柱与圆锥,整数的认识,1,0.013782946160499281
圆柱与圆锥,图形的运动,3,0.05559369874958259
圆柱与圆锥,旋转,2,0.038984058779272523
圆柱与圆锥,圆,2,0.031280562354492725
圆柱与圆锥,图形测量,1,0.012301695782628073
圆柱与圆锥,比例,1,0.01349873117890097
圆柱与圆锥,面积,1,0.011904761904761904
圆柱与圆锥,图形与几何,1,0.026726124191242435
圆柱与圆锥,平行四边形和梯形,1,0.024000768036865964
圆柱与圆锥,小数除法,1,0.012198750911856666
比的意义,百分数的认识,27,0.32222874336982427
比的意义,圆,7,0.07510401060760538
比的意义,分数的意义和性质,8,0.08468097984399411
比的意义,小数的加、减法,1,0.012036840965264339
比的意义,数与代数,4,0.038651402376829895
比的意义,整数的四则运算,4,0.025610000096437657
比的意义,面积,2,0.016333198585000843
比的意义,比例,4,0.037040212774409394
比的意义,认识统计图,3,0.045834924851410566
比的意义,分数的初步认识,1,0.01673654817511446
比的意义,因数与倍数,2,0.01988598246420039
比的意义,长方体和正方体,1,0.008946061301216422
比的意义,年月日,1,0.028988551782622423
两位数乘两位数,面积,1,0.029695693545824933
两位数乘两位数,整数的四则运算,1,0.02328100985898594
两位数乘两位数,除数是一位数的除法,2,0.1126872339638022
两位数乘两位数,整数的认识,1,0.034380708208626445
两位数乘两位数,小数的初步认识,2,0.1849000654084097
两位数乘两位数,三位数乘两位数,2,0.13608276348795434
面积,长方形和正方形,21,0.27288841145490766
面积,圆,16,0.16682966589062784
面积,公顷和平方千米,3,0.10910894511799618
面积,图形测量,19,0.1558214799132889
面积,长方体和正方体,13,0.11302211504074856
面积,时、分、秒,14,0.15969004586013613
面积,整数的四则运算,1,0.0062221116078879785
面积,图形与几何,3,0.05345224838248487
面积,因数与倍数,2,0.019325701188414948
面积,图形的运动,1,0.012354155277685021
面积,三位数乘两位数,1,0.018184824186332698
面积,除数是一位数的除法,1,0.015058465048420854
面积,小数的初步认识,1,0.024708310555370042
面积,比例,2,0.01799830823853463
面积,小数的意义和性质,1,0.014085904245475275
面积,认识图形一,1,0.0445435403187374
面积,平行四边形和梯形,1,0.01600051202457731
100以内数的认识,表内乘法二,3,0.20801257358446093
100以内数的认识,长度单位,4,0.3508232077228117
100以内数的认识,整数的四则运算,2,0.027394690053949688
100以内数的认识,百分数的认识,1,0.02553214605940826
100以内数的认识,100以内的加法和减法二,2,0.1386750490563073
100以内数的认识,1～5的认识,1,0.031008683647302117
100以内数的认识,分数的意义和性质,1,0.022645540682891915
100以内数的认识,小数的意义和性质,1,0.031008683647302117
100以内数的认识,搭配,1,0.06537204504606134
100以内数的认识,数与代数,1,0.020672455764868078
100以内数的认识,负数的初步认识,1,0.05913123959890826
表内乘法二,100以内的加法和减法二,1,0.125
表内乘法二,长度单位,1,0.15811388300841897
表内乘法二,克与千克,1,0.20412414523193154
百分数的认识,分数的意义和性质,6,0.09019752336033945
百分数的认识,小数的意义和性质,3,0.06175402271944637
百分数的认识,负数的初步认识,1,0.03925343359894298
百分数的认识,分数的加、减法,2,0.026437362301460324
百分数的认识,整数的四则运算,2,0.01818557592045122
百分数的认识,百分数的应用,3,0.09764168323561791
百分数的认识,分数除法,3,0.029030596631501943
百分数的认识,分数的初步认识,4,0.09507653770830567
百分数的认识,小数除法,1,0.011884567213538208
百分数的认识,小数的初步认识,1,0.036107907233705945
百分数的认识,分数乘法,1,0.018990004393338023
平行四边形和梯形,角的度量,1,0.04490132550669373
平行四边形和梯形,长方形和正方形,2,0.052396251706224604
平行四边形和梯形,认识图形二,3,0.13912166872805048
平行四边形和梯形,整数的认识,1,0.018524872445114315
平行四边形和梯形,长方体和正方体,1,0.017527682734987296
平行四边形和梯形,位置二,1,0.033351867298253506
平行四边形和梯形,图形测量,1,0.016534008228581126
平行四边形和梯形,圆,1,0.021021210591721247
平行四边形和梯形,比例,1,0.0181428752857415
平行四边形和梯形,图形的运动,4,0.09962709627734358
平行四边形和梯形,旋转,1,0.026198125853112302
角的度量,长方形和正方形,2,0.07293249574894728
